useCost,Key_money
8986910,92319421.05263157
27837378,92319421.05263157
22504611,92319421.05263157
70782520,92319421.05263157
29942292,92319421.05263157
68461524,92319421.05263157
28549214,92319421.05263157
53817587,92319421.05263157
765270,92319421.05263157
3328500,92319421.05263157
27136730,92319421.05263157
48363960,92319421.05263157
113520500,92319421.05263157
307446543,92319421.05263157
349862624,92319421.05263157
713661875,92319421.05263157
532932776,92319421.05263157
839732240,92319421.05263157
572301729,92319421.05263157
834413947,92319421.05263157
11689873,92319421.05263157
21069287,92319421.05263157
656213783,92319421.05263157
578871199,92319421.05263157
2279500,92319421.05263157
8002400,92319421.05263157
5131200,92319421.05263157
27493100,92319421.05263157
4298200,92319421.05263157
22680200,92319421.05263157
4104600,92319421.05263157
12507070,92319421.05263157
143000,92319421.05263157
4933000,92319421.05263157
4910900,92319421.05263157
107825480,92319421.05263157
186111210,92319421.05263157
240078310,92319421.05263157
356810973,92319421.05263157
298056540,92319421.05263157
392566214,92319421.05263157
394929634,92319421.05263157
404826829,92319421.05263157
2534840,92319421.05263157
2548120,92319421.05263157
358033110,92319421.05263157
216009620,92319421.05263157
18922196,92319421.05263157
44923431,92319421.05263157
52196567,92319421.05263157
71525839,92319421.05263157
63882175,92319421.05263157
74277428,92319421.05263157
60272230,92319421.05263157
63106388,92319421.05263157
14350,92319421.05263157
488700,92319421.05263157
32483308,92319421.05263157
20086625,92319421.05263157
56645180,92319421.05263157
82172640,92319421.05263157
96865300,92319421.05263157
150715110,92319421.05263157
104246125,92319421.05263157
199274640,92319421.05263157
109015610,92319421.05263157
162917020,92319421.05263157
725200,92319421.05263157
2181610,92319421.05263157
74999572,92319421.05263157
84263445,92319421.05263157
51757510,92319421.05263157
55204498,92319421.05263157
73012322,92319421.05263157
65020178,92319421.05263157
49145006,92319421.05263157
54908422,92319421.05263157
50713263,92319421.05263157
43357508,92319421.05263157
1812290,92319421.05263157
1907050,92319421.05263157
47366180,92319421.05263157
26539256,92319421.05263157
65580870,92319421.05263157
264295268,92319421.05263157
125770083,92319421.05263157
310818880,92319421.05263157
107854265,92319421.05263157
198248669,92319421.05263157
61722715,92319421.05263157
89844475,92319421.05263157
694600,92319421.05263157
506800,92319421.05263157
26757540,92319421.05263157
19865310,92319421.05263157
43453143,92319421.05263157
98361669,92319421.05263157
84151015,92319421.05263157
206643244,92319421.05263157
91542770,92319421.05263157
207865953,92319421.05263157
74463130,92319421.05263157
154289369,92319421.05263157
473980,92319421.05263157
643200,92319421.05263157
52827824,92319421.05263157
67487634,92319421.05263157
20765700,92319421.05263157
74095400,92319421.05263157
41712200,92319421.05263157
248265150,92319421.05263157
38618600,92319421.05263157
246218400,92319421.05263157
21921500,92319421.05263157
100368950,92319421.05263157
702700,92319421.05263157
